Clanice otvorenog jata Hijade za koje je verovatnoca pripadnosti veca od 50%

alfa[h], alfa[m], alfa[s], delta[s], delta[m], delta[s], mV, B-V, mua[mas], mud[mas]
==========================================================================================
4 	 23 	 2.80 	 13 	 23 	 25.10 	 14.73 	 1.89 	 131 	 -28
4 	 23 	 11.29 	 17 	 0 	 32.00 	 15.11 	 1.52 	 105 	 -37
4 	 23 	 14.69 	 15 	 24 	 44.30 	 7.49 	 0.54 	 142 	 -24
4 	 23 	 31.88 	 16 	 44 	 30.00 	 8.06 	 0.63 	 128 	 -14
4 	 23 	 47.52 	 16 	 38 	 8.10 	 8.12 	 0.66 	 118 	 -24
4 	 23 	 54.86 	 12 	 34 	 30.50 	 10.51 	 1.34 	 134 	 -22
4 	 24 	 5.93 	 13 	 1 	 36.90 	 10.32 	 1.50 	 117 	 -28
4 	 24 	 23.40 	 17 	 7 	 53.20 	 13.05 	 1.53 	 115 	 -27
4 	 24 	 34.50 	 14 	 0 	 28.60 	 15.11 	 1.92 	 110 	 -19
4 	 24 	 34.88 	 17 	 41 	 0.80 	 14.87 	 1.41 	 110 	 -20
4 	 24 	 35.62 	 14 	 9 	 0.20 	 10.50 	 1.11 	 119 	 -17
4 	 24 	 57.14 	 14 	 18 	 27.30 	 9.52 	 0.93 	 112 	 -25
4 	 25 	 15.14 	 13 	 45 	 29.10 	 9.03 	 0.84 	 131 	 -28
4 	 25 	 18.52 	 16 	 21 	 41.10 	 11.13 	 1.37 	 118 	 -37
4 	 25 	 33.09 	 14 	 37 	 53.10 	 5.90 	 0.84 	 143 	 -21
4 	 25 	 33.18 	 13 	 42 	 47.40 	 15.79 	 2.01 	 124 	 -30
4 	 25 	 35.00 	 17 	 35 	 12.00 	 12.20 	 1.47 	 109 	 -31
4 	 25 	 46.48 	 16 	 51 	 39.50 	 13.96 	 0.01 	 113 	 -27
4 	 25 	 58.72 	 16 	 10 	 48.30 	 10.71 	 1.36 	 107 	 -23
4 	 26 	 0.66 	 15 	 52 	 21.80 	 11.96 	 1.44 	 114 	 -27
